,country,calories,areami,population,densitymi
0,United States,3800,3796742,334783558,88
1,Austria,3750,32386,8902600,275
2,Greece,3710,50949,10724599,210
3,Belgium,3690,11849,11524454,973
4,Luxembourg,3680,998,613894,615
5,Italy,3650,116336,60252824,518
6,Malta,3600,122,514564,4231
7,Ireland,3590,27133,4921500,181
8,Portugal,3580,35556,10276617,289
9,Germany,3540,137903,83149300,603
10,Canada,3530,3855103,38753435,10
11,France,3530,210026,67060000,319
12,Israel,3530,8522,9477350,1112
13,Kazakhstan,3510,1052090,18592700,17
14,Turkey,3500,302535,83154997,275
15,Romania,3490,92043,19405156,211
16,Hungary,3470,35919,9764000,272
17,Norway,3450,125023,5367580,43
18,Switzerland,3450,15940,8586550,539
19,United Kingdom,3450,93628,67886004,725
20,Lithuania,3430,25212,2793466,111
21,Cuba,3420,42426,11193470,264
22,Denmark,3410,16640,5814461,349
23,Poland,3410,120728,38386000,318
24,Tunisia,3330,63170,11722038,186
25,Russia,3320,,,
26,Ukraine,3290,,,
27,Czech Republic,3280,30451,10681161,351
28,Iceland,3260,39682,366130,9.2
29,Mexico,3260,759516,126577691,167
30,Morocco,3260,172414,35969325,209
31,Netherlands Antilles,3260,,,
32,Spain,3260,195364,46934632,240
33,Australia,3220,2969907,26494872,9
34,Finland,3220,130666,5527405,42
35,Slovenia,3220,7827,2084301,266
36,Cyprus,3190,2276,875900,385
37,United Arab Emirates,3170,32278,9770529,303
38,Egypt,3160,387048,103686842,268
39,Belarus,3150,80155,9397800,118
40,Libya,3150,683424,6470956,9.5
41,New Caledonia,3150,,,
42,Estonia,3140,17505,1324820,76
43,Brazil,3120,3287956,214188525,65
44,Saudi Arabia,3120,830000,34218169,41
45,Sweden,3110,173860,10343403,59
46,Algeria,3090,919595,43000000,47
47,Dominica,3090,285,71808,252
48,Lebanon,3090,4036,6855713,1741
49,Bosnia and Herzegovina,3080,19772,3511372,178
50,Macedonia,3060,,,
51,Iran,3050,636372,85137132,134
52,South Korea,3040,38691,51780579,1338
53,Syria,3040,71498,17070135,239
54,Argentina,3030,1073518,44938712,42
55,Kuwait,3030,6880,4420110,642
56,Azerbaijan,3020,33436,10067108,301
57,Barbados,3020,166,287025,1729
58,Fiji,3000,7078,884887,125
59,Jordan,3000,34495,11128684,323
60,Netherlands,3000,16033,17534908,1094
61,South Africa,3000,471359,58775022,125
62,China,2990,3722342,1411642400,379
63,Croatia,2990,21831,4087843,187
64,Latvia,2990,24928,1910400,77
65,Brunei,2980,2226,421300,189
66,Chile,2960,291930,17373831,60
67,Vanuatu,2950,4742,304500,64
68,Mauritius,2930,788,1265577,1607
69,Ghana,2900,92098,30280811,329
70,Slovakia,2900,18933,5450421,288
71,Albania,2890,11082,2862427,258
72,Malaysia,2890,127724,33956704,266
73,Samoa,2890,1093,199300,182
74,French Polynesia,2880,,,
75,Saint Vincent and the Grenadines,2860,150,110520,736
76,Moldova,2850,13067,2681735,205
77,Jamaica,2840,4244,2726667,643
78,Uruguay,2840,,,
79,Costa Rica,2820,19730,5058007,256
80,Kiribati,2820,313,125000,399
81,Mauritania,2810,397955,3984233,10.0
82,New Zealand,2810,104428,5235563,50
83,Japan,2800,145937,126010000,863
84,Vietnam,2780,127882,96208984,752
85,Bulgaria,2760,42858,6951482,162
86,Guyana,2740,83012,782225,9.4
87,Turkmenistan,2740,189657,5851466,31
88,Georgia,2730,26911,3729600,139
89,Bahamas,2710,5382,386870,72
90,Belize,2710,8867,408487,46
91,Gabon,2710,103347,2067561,20
92,Nigeria,2710,356669,200962000,563
93,Saint Lucia,2710,238,180454,757
94,Serbia,2700,29913,6901188,231
95,Montenegro,2700,5333,622182,117
96,Trinidad and Tobago,2700,1990,1363985,685
97,Burkina Faso,2690,104543,20244080,194
98,Colombia,2690,440831,47150600,107
99,Kyrgyzstan,2660,77199,6309300,82
100,Paraguay,2660,157048,7052983,44
101,São Tomé and Príncipe,2660,386,201784,522
102,Bermuda,2650,,,
103,Venezuela,2650,353841,32219521,91
104,Honduras,2610,43433,9158345,211
105,Mali,2590,482077,19107706,40
106,El Salvador,2580,8124,6704864,825
107,Philippines,2580,115831,111334759,961
108,Congo,2570,,,
109,Uzbekistan,2560,172742,32653900,189
110,Guinea,2550,94926,12218357,129
111,Indonesia,2550,735358,268074600,365
112,Maldives,2550,115,374775,3257
113,Thailand,2540,198117,66745130,337
114,Cape Verde,2530,1557,550483,354
115,Benin,2510,43484,11733059,270
116,Côte d'Ivoire,2500,,,
117,Lesotho,2460,11720,2263010,193
118,Saint Kitts and Nevis,2460,104,56345,541
119,Suriname,2460,63251,568301,9.0
120,Panama,2450,28640,4158783,145
121,Nicaragua,2420,46884,6393824,136
122,Peru,2410,496225,32162184,65
123,Grenada,2400,133,108825,819
124,Seychelles,2400,176,96762,551
125,Solomon Islands,2400,10954,682500,62
126,Niger,2390,458075,22314743,49
127,Sri Lanka,2370,25332,21803000,861
128,India,2360,1269219,1324171354,1066
129,Namibia,2360,318580,2413643,7.6
130,Nepal,2340,56956,29609623,520
131,Antigua and Barbuda,2330,171,104084,610
132,Gambia,2330,4127,2228075,540
133,Djibouti,2300,8880,1078373,121
134,Ecuador,2300,106889,17904236,168
135,Swaziland,2290,,,
136,Pakistan,2280,310403,215501217,694
137,Senegal,2280,75955,16209125,213
138,Sudan,2280,710251,40782742,57
139,Bangladesh,2270,55598,172096332,3095
140,Dominican Republic,2270,18485,10358320,560
141,Guinea-Bissau,2270,13948,1604528,115
142,Armenia,2260,11484,2957500,258
143,Cameroon,2240,179943,24348251,135
144,Laos,2240,91429,6492400,71
145,Mongolia,2240,603902,3238479,5.4
146,Botswana,2230,224607,2302878,10.3
147,Uganda,2220,93263,40006700,429
148,Zimbabwe,2210,150872,15159624,100
149,Liberia,2200,37466,4475353,119
150,Tajikistan,2190,55251,9127000,165
151,Cambodia,2180,69898,16289270,233
152,Guatemala,2150,42042,17679735,421
153,Malawi,2150,45747,17563749,384
154,Togo,2150,21853,7538000,345
155,Madagascar,2130,226658,25680342,113
156,Sierra Leone,2120,27699,7901454,285
157,North Korea,2110,46541,25549604,549
158,Bolivia,2100,424164,11307314,27
159,Rwanda,2090,10169,12374397,1217
160,Palestine,2080,2324,4976684,2141
161,Mozambique,2070,308642,28571310,93
162,Yemen,2050,175676,28915284,165
163,Kenya,2030,224647,47564296,212
164,Timor-Leste,2020,5760,1167242,203
165,Tanzania,2020,364900,55890747,153
166,Chad,2010,495755,15353184,31
167,Angola,1960,481354,29250009,61
168,Central African Republic,1960,240324,4737423,20
169,Ethiopia,1950,410678,107534882,262
170,Zambia,1880,290585,16405229,56
171,Haiti,1850,10450,11263077,1078
172,Comoros,1840,719,873724,1216
173,Burundi,1680,10740,11215578,1044
174,Eritrea,1590,46757,3497117,75
